Denominazione;IdCodice;TipoDocumento;Numero;Data;ImportoTotaleDocumento;DataScadenzaPagamento;ImportoPagamento;ModalitaPagamento;Cessionario;IdCodiceCess
RAMAC UTENSILI S.A.S.;06855330152;TD24;FPR 1/25;2025-01-20;2930.77;2025-01-20;2930.77;MP05;O.M.S.  SNC;06594700152
RAMAC UTENSILI S.A.S.;06855330152;TD24;FPR 10/25;2025-02-24;3946.03;2025-02-19;3946.03;MP05;O.M.S.  SNC;06594700152
RAMAC UTENSILI S.A.S.;06855330152;TD24;FPR 17/25;2025-02-28;239.77;2025-02-28;239.77;MP01;OFFICINA SARACCHI;06770660964
RAMAC UTENSILI S.A.S.;06855330152;TD24;FPR 5/25;2025-01-31;318.35;2025-03-31;318.35;MP05;O.M.G. SAS;06673490154
RAMAC UTENSILI S.A.S.;06855330152;TD24;FPR 7/25;2025-01-31;419.40;2025-03-31;419.40;MP05;C.P. AVVOLGIMENTI SAS;10216640150
RAMAC UTENSILI S.A.S.;06855330152;TD24;FPR 9/25;2025-01-31;930.91;2025-03-31;930.91;MP12;EMAS ELETTROMECCANICA SRL;05949990963
RAMAC UTENSILI S.A.S.;06855330152;TD24;FPR 8/25;2025-01-31;606.65;2025-03-31;606.65;MP05;COFEME EXHAUST SYSTEMS SRL;12377840967
RAMAC UTENSILI S.A.S.;06855330152;TD24;FPR 30/25;2025-04-17;980.00;2025-04-17;980.00;MP05;O.M.S.  SNC;06594700152
RAMAC UTENSILI S.A.S.;06855330152;TD24;FPR 2/25;2025-01-31;363.47;2025-04-30;363.47;MP12;EL.MAR S.R.L.;10129140967
RAMAC UTENSILI S.A.S.;06855330152;TD24;FPR 3/25;2025-01-31;2718.12;2025-04-30;2718.12;MP05;C.D.Z.  S.R.L.;02985470968
RAMAC UTENSILI S.A.S.;06855330152;TD24;FPR 19/25;2025-02-28;636.66;2025-04-30;636.66;MP05;COFEME EXHAUST SYSTEMS SRL;12377840967
RAMAC UTENSILI S.A.S.;06855330152;TD24;FPR 18/25;2025-02-28;23.18;2025-04-30;23.18;MP05;C.P. AVVOLGIMENTI SAS;10216640150
RAMAC UTENSILI S.A.S.;06855330152;TD24;FPR 15/25;2025-02-28;195.20;2025-04-30;195.20;MP12;RACHIELE CARP.METALL. S.N.C.;12201150153
RAMAC UTENSILI S.A.S.;06855330152;TD24;FPR 20/25;2025-02-28;488.00;2025-04-30;488.00;MP12;EMAS ELETTROMECCANICA SRL;05949990963
RAMAC UTENSILI S.A.S.;06855330152;TD24;FPR 4/25;2025-01-31;578.28;2025-05-31;578.28;MP12;C.G.N.  S.R.L.;07823920157
RAMAC UTENSILI S.A.S.;06855330152;TD24;FPR 6/25;2025-01-31;5165.15;2025-05-31;5165.15;MP12;O.M.S.  SNC;06594700152
RAMAC UTENSILI S.A.S.;06855330152;TD24;FPR 11/25;2025-02-28;701.40;2025-05-31;701.40;MP12;EL.MAR S.R.L.;10129140967
RAMAC UTENSILI S.A.S.;06855330152;TD24;FPR 14/25;2025-02-28;477.26;2025-05-31;477.26;MP12;FAST ASSEMBLER S.R.L.;07557690158
RAMAC UTENSILI S.A.S.;06855330152;TD24;FPR 12/25;2025-02-28;1987.38;2025-05-31;1987.38;MP05;C.D.Z.  S.R.L.;02985470968
RAMAC UTENSILI S.A.S.;06855330152;TD24;FPR 27/25;2025-03-31;1404.79;2025-05-31;1404.79;MP05;COFEME EXHAUST SYSTEMS SRL;12377840967
RAMAC UTENSILI S.A.S.;06855330152;TD24;FPR 25/25;2025-03-31;311.12;2025-05-31;311.12;MP05;C.P. AVVOLGIMENTI SAS;10216640150
RAMAC UTENSILI S.A.S.;06855330152;TD24;FPR 29/25;2025-03-31;509.02;2025-05-31;509.02;MP12;FAMA' COMPRESSORI SRL;11871190960
RAMAC UTENSILI S.A.S.;06855330152;TD24;FPR 26/25;2025-03-31;620.19;2025-05-31;620.19;MP05;DUE L.M. SRL;03653760961
RAMAC UTENSILI S.A.S.;06855330152;TD24;FPR 47/25;2025-06-20;823.50;2025-06-20;823.50;MP05;C.G.N.  S.R.L.;07823920157
RAMAC UTENSILI S.A.S.;06855330152;TD24;FPR 48/25;2025-06-27;4656.86;2025-06-27;4656.86;MP05;O.M.S.  SNC;06594700152
RAMAC UTENSILI S.A.S.;06855330152;TD24;FPR 13/25;2025-02-28;726.82;2025-06-30;726.82;MP12;C.G.N.  S.R.L.;07823920157
RAMAC UTENSILI S.A.S.;06855330152;TD24;FPR 16/25;2025-02-28;5253.54;2025-06-30;5253.54;MP12;O.M.S.  SNC;06594700152
RAMAC UTENSILI S.A.S.;06855330152;TD24;FPR 22/25;2025-03-31;1783.30;2025-06-30;1783.30;MP05;C.D.Z.  S.R.L.;02985470968
RAMAC UTENSILI S.A.S.;06855330152;TD24;FPR 28/25;2025-03-31;506.47;2025-06-30;506.47;MP05;MEDA INGRANAGGI S.A.S.;06041890960
RAMAC UTENSILI S.A.S.;06855330152;TD24;FPR 21/25;2025-03-31;338.05;2025-06-30;338.05;MP12;EL.MAR S.R.L.;10129140967
RAMAC UTENSILI S.A.S.;06855330152;TD24;FPR 36/25;2025-04-30;63.21;2025-06-30;63.21;MP05;C.P. AVVOLGIMENTI SAS;10216640150
RAMAC UTENSILI S.A.S.;06855330152;TD24;FPR 39/25;2025-04-30;585.60;2025-06-30;585.60;MP12;FAMA' COMPRESSORI SRL;11871190960
RAMAC UTENSILI S.A.S.;06855330152;TD24;FPR 37/25;2025-04-30;732.73;2025-06-30;732.73;MP05;COFEME EXHAUST SYSTEMS SRL;12377840967
RAMAC UTENSILI S.A.S.;06855330152;TD01;FPR 57/25;2025-07-10;309.64;2025-07-10;309.64;MP05;S.V.M. s.r.l.s. Printing Machine;03535200129
RAMAC UTENSILI S.A.S.;06855330152;TD24;FPR 24/25;2025-03-31;9639.53;2025-07-31;9639.53;MP12;O.M.S.  SNC;06594700152
RAMAC UTENSILI S.A.S.;06855330152;TD24;FPR 23/25;2025-03-31;397.52;2025-07-31;397.52;MP12;C.G.N.  S.R.L.;07823920157
RAMAC UTENSILI S.A.S.;06855330152;TD24;FPR 38/25;2025-04-30;765.18;2025-07-31;765.18;MP05;MEDA INGRANAGGI S.A.S.;06041890960
RAMAC UTENSILI S.A.S.;06855330152;TD24;FPR 32/25;2025-04-30;2158.77;2025-07-31;2158.77;MP05;C.D.Z.  S.R.L.;02985470968
RAMAC UTENSILI S.A.S.;06855330152;TD24;FPR 34/25;2025-04-30;21.96;2025-07-31;21.96;MP12;FAST ASSEMBLER S.R.L.;07557690158
RAMAC UTENSILI S.A.S.;06855330152;TD24;FPR 31/25;2025-04-30;111.31;2025-07-31;111.31;MP12;EL.MAR S.R.L.;10129140967
RAMAC UTENSILI S.A.S.;06855330152;TD24;FPR 45/25;2025-05-30;758.14;2025-07-31;758.14;MP05;COFEME EXHAUST SYSTEMS SRL;12377840967
RAMAC UTENSILI S.A.S.;06855330152;TD24;FPR 46/25;2025-05-30;284.87;2025-07-31;284.87;MP12;FAMA' COMPRESSORI SRL;11871190960
RAMAC UTENSILI S.A.S.;06855330152;TD24;FPR 64/25;2025-07-31;112.56;2025-07-31;112.56;MP05;S.V.M. s.r.l.s. Printing Machine;03535200129
RAMAC UTENSILI S.A.S.;06855330152;TD24;FPR 41/25;2025-05-30;2121.54;2025-08-31;2121.54;MP05;C.D.Z.  S.R.L.;02985470968
RAMAC UTENSILI S.A.S.;06855330152;TD24;FPR 56/25;2025-06-30;986.55;2025-08-31;986.55;MP05;COFEME EXHAUST SYSTEMS SRL;12377840967
RAMAC UTENSILI S.A.S.;06855330152;TD24;FPR 54/25;2025-06-30;440.07;2025-08-31;440.07;MP05;C.P. AVVOLGIMENTI SAS;10216640150
RAMAC UTENSILI S.A.S.;06855330152;TD24;FPR 35/25;2025-04-30;9499.48;2025-09-10;9499.48;MP12;O.M.S.  SNC;06594700152
RAMAC UTENSILI S.A.S.;06855330152;TD24;FPR 33/25;2025-04-30;283.65;2025-09-10;283.65;MP12;C.G.N.  S.R.L.;07823920157
RAMAC UTENSILI S.A.S.;06855330152;TD24;FPR 40/25;2025-05-30;899.60;2025-09-10;899.60;MP12;EL.MAR S.R.L.;10129140967
RAMAC UTENSILI S.A.S.;06855330152;TD24;FPR 43/25;2025-05-30;101.30;2025-09-10;101.30;MP12;MASSERELLI S.N.C.;10850560151
RAMAC UTENSILI S.A.S.;06855330152;TD24;FPR 55/25;2025-06-30;170.80;2025-09-10;170.80;MP05;DIMEC S.r.l.;05112930960
RAMAC UTENSILI S.A.S.;06855330152;TD24;FPR 42/25;2025-05-30;501.76;2025-09-30;501.76;MP12;C.G.N.  S.R.L.;07823920157
RAMAC UTENSILI S.A.S.;06855330152;TD24;FPR 44/25;2025-05-30;5319.64;2025-09-30;5319.64;MP12;O.M.S.  SNC;06594700152
RAMAC UTENSILI S.A.S.;06855330152;TD24;FPR 49/25;2025-06-30;360.28;2025-09-30;360.28;MP12;EL.MAR S.R.L.;10129140967
RAMAC UTENSILI S.A.S.;06855330152;TD24;FPR 52/25;2025-06-30;158.60;2025-09-30;158.60;MP12;FAST ASSEMBLER S.R.L.;07557690158
RAMAC UTENSILI S.A.S.;06855330152;TD24;FPR 50/25;2025-06-30;1863.28;2025-09-30;1863.28;MP05;C.D.Z.  S.R.L.;02985470968
RAMAC UTENSILI S.A.S.;06855330152;TD24;FPR 62/25;2025-07-31;355.25;2025-09-30;355.25;MP05;C.P. AVVOLGIMENTI SAS;10216640150
RAMAC UTENSILI S.A.S.;06855330152;TD24;FPR 65/25;2025-07-31;61.00;2025-09-30;61.00;MP12;FAMA' COMPRESSORI SRL;11871190960
