Denominazione;IdCodice;TipoDocumento;Numero;Data;ImportoTotaleDocumento;DataScadenzaPagamento;ImportoPagamento;ModalitaPagamento;Cessionario;IdCodiceCess
DAPHNE IMPIANTI S.R.L.;02198400414;TD01;1;2025-01-22;308.66;2025-01-22;308.66;MP01;RAMAC UTENSILI SAS;06855330152
DETER SRL;08055800158;TD24;2025.FD159.SEDE;2025-01-31;59.43;2025-01-31;59.43;MP05;RAMAC UTENSILI SAS;06855330152
Wind Tre S.p.A.;13378520152;TD01;F2502710053;2025-01-22;31.85;2025-02-21;31.85;MP20;RAMAC UTENSILI S.A.S.;06855330152
ELVINOX    S.r.l.;03946440157;TD24;IT  000556;2025-01-14;132.71;2025-02-28;132.71;MP12;RAMAC UTENSILI   S.a.s.;06855330152
GNUTTI BORTOLO S.R.L.;00547380980;TD01;000648/25;2025-03-03;128.10;2025-03-03;128.10;MP01;RAMAC UTENSILI S.A.S.;06855330152
Wind Tre S.p.A.;13378520152;TD01;F2505815525;2025-02-22;31.85;2025-03-24;31.85;MP20;RAMAC UTENSILI S.A.S.;06855330152
RU-STEEL ITALIA S.r.l.;01746520152;TD24;A140;2025-01-27;245.71;2025-03-31;245.71;MP05;RAMAC UTENSILI S.A.S.;06855330152
MORIN S.R.L.;06131140961;TD24;000030/25;2025-01-31;2028.65;2025-03-31;2028.65;MP12;RAMAC UTENSILI S.A.S.;06855330152
MECH WEB S.r.l.;09061820966;TD01;68;2025-01-31;367.22;2025-03-31;367.22;MP12;RAMAC UTENSILI sas di Alemani Stefano;06855330152
COLOMBO DISTRIBUZIONE SRL;03919030985;TD24;1/86;2025-01-31;382.49;2025-03-31;382.49;MP12;RAMAC UTENSILI S.A.S. DI ALEMANI STEFANO;06855330152
CONSORZIO DEI NAVIGLI S.P.A.;13157010151;TD01;FT CONS-23889;2025-02-10;4.89;2025-03-31;56.24;MP23;RAMAC UTENSILI SAS;06855330152
CONSORZIO DEI NAVIGLI S.P.A.;13157010151;TD01;FT CONS-23889;2025-02-10;4.89;2025-03-31;112.48;MP23;RAMAC UTENSILI SAS;06855330152
ELVINOX    S.r.l.;03946440157;TD24;IT  002730;2025-02-18;154.03;2025-03-31;154.03;MP12;RAMAC UTENSILI   S.a.s.;06855330152
SIRA S.P.A.;01870750161;TD24;759;2025-02-21;120.17;2025-03-31;120.17;MP12;RAMAC UTENSILI S.A.S.;06855330152
DETER SRL;08055800158;TD24;2025.FD558.SEDE;2025-03-31;72.60;2025-03-31;72.60;MP05;RAMAC UTENSILI SAS;06855330152
UNITEC RICAMBI S.R.L.S;03940091204;TD24;FVB45;2025-03-31;284.63;2025-03-31;284.63;MP05;RAMAC UTENSILI S.A.S. DI ALEMANI STEFANO;06855330152
UTENSILERIA SARDA S.R.L.;02800390920;TD01;000258/25;2025-04-01;112.48;2025-04-01;112.48;MP05;RAMAC UTENSILI S.A.S.;06855330152
Wind Tre S.p.A.;13378520152;TD01;F2508566821;2025-03-22;31.85;2025-04-21;31.85;MP20;RAMAC UTENSILI S.A.S.;06855330152
Societa' Italiana Commerciale Utensili S.p.A.;00804240158;TD24;2025-FATCL-0000573;2025-01-17;97.69;2025-04-30;97.69;MP12;RAMAC UTENSILI S.A.S.;06855330152
LTF SpA;01276740162;TD01;25V1-01014;2025-01-21;186.33;2025-04-30;186.33;MP12;RAMAC UTENSILI SAS;06855330152
LTF SpA;01276740162;TD01;25V1-01211;2025-01-23;94.10;2025-04-30;94.10;MP12;RAMAC UTENSILI SAS;06855330152
Societa' Italiana Commerciale Utensili S.p.A.;00804240158;TD24;2025-FATCL-0001277;2025-01-24;187.56;2025-04-30;187.56;MP12;RAMAC UTENSILI S.A.S.;06855330152
LTF SpA;01276740162;TD01;25V1-01555;2025-01-28;180.64;2025-04-30;180.64;MP12;RAMAC UTENSILI SAS;06855330152
LTF SpA;01276740162;TD01;25V1-01752;2025-01-30;150.17;2025-04-30;150.17;MP12;RAMAC UTENSILI SAS;06855330152
CTA CALFLEX SRL;03633950153;TD24;160;2025-01-31;391.89;2025-04-30;391.89;MP12;RAMAC UTENSILI S.a.s.;06855330152
FAMI S.R.L.;03498610249;TD24;FVI25-000887;2025-01-31;595.43;2025-04-30;595.43;MP12;RAMAC UTENSILI SAS;06855330152
COMMERCIAL DADO S.P.A.;00165150343;TD24;992;2025-01-31;358.06;2025-04-30;358.06;MP12;RAMAC UTENSILI SAS;06855330152
G.B.R. UTENSILI SRL;08437750154;TD24;29;2025-01-31;241.18;2025-04-30;241.18;MP12;RAMAC UTENSILI SAS di Alemani Stefano;06855330152
LA TRASMISSIONE SRL;04486310966;TD24;354;2025-01-31;1915.29;2025-04-30;1915.29;MP12;RAMAC UTENSILI S.A.S.;06855330152
MASSERELLI SNC DI MASSERELLI ROBERTO & C.;10850560151;TD24;00013;2025-01-31;433.44;2025-04-30;433.44;MP12;RAMAC UTENSILI SAS;06855330152
NUOVA FILP SRL;04905160018;TD01;768;2025-02-10;125.66;2025-04-30;125.66;MP12;RAMAC UTENSILI SAS;06855330152
RUPEA S.R.L.;05710610964;TD01;447/2025/FA;2025-02-12;149.63;2025-04-30;149.63;MP12;RAMAC UTENSILI SAS;06855330152
NICOLI METALLI SRL;07250050965;TD24;76;2025-02-20;1551.40;2025-04-30;1551.40;MP12;RAMAC UTENSILI SAS DI ALEMANI STEFANO;06855330152
RUPEA S.R.L.;05710610964;TD01;659/2025/FA;2025-02-27;158.60;2025-04-30;158.60;MP12;RAMAC UTENSILI SAS;06855330152
MORIN S.R.L.;06131140961;TD24;000064/25;2025-02-28;2280.13;2025-04-30;2280.13;MP12;RAMAC UTENSILI S.A.S.;06855330152
TEKNIK S.r.l.;06828010154;TD24;000176/25;2025-03-11;73.20;2025-04-30;73.20;MP12;RAMAC UTENSILI SAS;06855330152
TEKNIK S.r.l.;06828010154;TD24;000202/25;2025-03-19;208.01;2025-04-30;208.01;MP12;RAMAC UTENSILI SAS;06855330152
DETER SRL;08055800158;TD24;2025.FD748.SEDE;2025-04-30;93.59;2025-04-30;93.59;MP05;RAMAC UTENSILI SAS;06855330152
I.V.M. S.R.L.;01880760234;TD24;000527;2025-01-29;0.00;2025-05-05;217.83;MP12;RAMAC UTENSILI SAS;06855330152
Wind Tre S.p.A.;13378520152;TD01;F2512057756;2025-04-22;31.85;2025-05-22;31.85;MP20;RAMAC UTENSILI S.A.S.;06855330152
LTF SpA;01276740162;TD01;25V1-02207;2025-02-05;214.42;2025-05-31;214.42;MP12;RAMAC UTENSILI SAS;06855330152
Societa' Italiana Commerciale Utensili S.p.A.;00804240158;TD24;2025-FATCL-0002593;2025-02-07;387.78;2025-05-31;387.78;MP12;RAMAC UTENSILI S.A.S.;06855330152
Societa' Italiana Commerciale Utensili S.p.A.;00804240158;TD24;2025-FATCL-0003203;2025-02-14;325.50;2025-05-31;325.50;MP12;RAMAC UTENSILI S.A.S.;06855330152
LTF SpA;01276740162;TD01;25V1-03676;2025-02-24;215.31;2025-05-31;215.31;MP12;RAMAC UTENSILI SAS;06855330152
COMMERCIAL DADO S.P.A.;00165150343;TD24;3467;2025-02-28;90.60;2025-05-31;90.60;MP12;RAMAC UTENSILI SAS;06855330152
LA TRASMISSIONE SRL;04486310966;TD24;764;2025-02-28;2767.29;2025-05-31;2767.29;MP12;RAMAC UTENSILI S.A.S.;06855330152
