Denominazione;IdCodice;TipoDocumento;Numero;Data;ImportoTotaleDocumento;DataScadenzaPagamento;ImportoPagamento;ModalitaPagamento;Cessionario;IdCodiceCess
T.S.O. spa;01234567890;TD24;FPR 41/25;01-07-2025;2.44;15-01-2025;2.44;MP05;T.S.O. spa;01234567890
T.S.O. spa;01234567890;TD24;FPR 40/25;01-01-2025;780.80;15-02-2025;780.80;MP05;Studio Delta SRL;03456789123
T.S.O. spa;01234567890;TD24;FPR 54/25;30-04-2025;866.20;10-03-2025;866.20;MP05;LINEB;05112930960
T.S.O. spa;01234567890;TD24;FPR 43/25;28-02-2025;122.00;10-04-2025;122.00;MP05;Officina Creativa2 SRL;09876543222
T.S.O. spa;01234567890;TD24;FPR 58/25;30-06-2025;115.90;10-06-2025;115.90;MP05;Officina Creativa SRL;09876543210
T.S.O. spa;01234567890;TD24;FPR 42/25;30-03-2025;109.80;10-08-2025;109.80;MP05;Officina Creativa SRL;09876543210
T.S.O. spa;01234567890;TD24;FPR 59/25;30-07-2025;109.80;10-08-2025;109.80;MP05;Officina Creativa SRL;09876543210
T.S.O. spa;01234567890;TD24;FPR 56/25;01-07-2025;219.60;15-09-2025;219.60;MP05;Studio Delta SRL;03456789123
T.S.O. spa;01234567890;TD24;FPR 55/25;30-04-2025;170.80;10-10-2025;170.80;MP05;LINEB;05112930960
T.S.O. spa;01234567890;TD24;FPR 57/25;01-07-2025;244.00;15-11-2025;244.00;MP05;Studio Delta SRL;03456789123
